 memoria, bateria, cpu, crip,
  3, 66, 44, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 75, ##CHACHA##,
  3, 66, 73, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 75, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 73, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 73, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 66, 74, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 72, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 71, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 72, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 68, 73, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 75, ##CHACHA##,
  3, 68, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 75, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 75, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 72, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 75, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 75, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 75, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 73, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 75, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 70, 74, ##CHACHA##,
  3, 72, 74, ##CHACHA##,
  3, 72, 73, ##CHACHA##,
  3, 72, 74, ##CHACHA##,
  3, 72, 72, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 71, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 71, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 73, ##AES256##,
  3, 72, 72, ##AES256##,
  3, 72, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 71, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 71, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 71, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 73, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 74, 72, ##AES256##,
  3, 74, 74, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 72, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 72, ##AES256##,
  3, 75, 71, ##AES256##,
  3, 75, 72, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 74, ##AES256##,
  3, 75, 74, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 72, ##AES256##,
  3, 75, 74, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 74, ##AES256##,
  3, 75, 71, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 72, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 72, ##AES256##,
  3, 75, 71, ##AES256##,
  3, 75, 74, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 73, ##AES256##,
  3, 75, 77, ##AES256##,