 memoria, cpu, crip,
 38%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 99%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 38%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 38%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 38%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 38%, 97%, ##AES192##,
 38%, 98%, ##AES192##,
 38%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 38%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 38%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 97%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 89%, ##AES192##,
 39%, 92%, ##AES192##,
 39%, 95%, ##AES192##,
 38%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,
 39%, 98%, ##AES192##,