 memoria ; cpu; crip ;
 28 ; 42 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 73 ; ##CHACHA## ;
 28 ; 72 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 70 ; ##CHACHA## ;
 28 ; 65 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 71 ; ##CHACHA## ;
 28 ; 25 ; ##AES256## ;
 28 ; 25 ; ##AES256## ;
 28 ; 27 ; ##AES256## ;
 28 ; 26 ; ##AES256## ;
 28 ; 26 ; ##AES256## ;
 28 ; 25 ; ##AES256## ;
 28 ; 28 ; ##AES256## ;
 28 ; 27 ; ##AES256## ;
 28 ; 28 ; ##AES256## ;
 28 ; 25 ; ##AES256## ;
 28 ; 26 ; ##AES256## ;
 28 ; 33 ; ##AES256## ;
 27 ; 38 ; ##AES256## ;
 27 ; 37 ; ##AES256## ;
 27 ; 34 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 32 ; ##AES256## ;
 26 ; 29 ; ##AES256## ;
 26 ; 27 ; ##AES256## ;
 26 ; 28 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 30 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 27 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 27 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 27 ; 37 ; ##AES256## ;
 27 ; 49 ; ##AES256## ;
 27 ; 51 ; ##AES256## ;
 26 ; 34 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 27 ; ##AES256## ;
 25 ; 29 ; ##AES256## ;
 25 ; 29 ; ##AES256## ;
 25 ; 29 ; ##AES256## ;
 25 ; 28 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 25 ; ##AES256## ;
 26 ; 27 ; ##AES256## ;
 26 ; 28 ; ##AES256## ;
 26 ; 27 ; ##AES256## ;
 26 ; 27 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 26 ; ##AES256## ;
 26 ; 81 ; ##AES256## ;